osm_id,osm_type,name,category,city,address,post code,website,lat,lon
11272642369,node,Château Capitoul,hotel,Narbonne,,,,43.1278097,3.0557735
11314084569,node,La côte rêvée,hotel,Narbonne,55 Boulevard du Front de Mer,,https://la-cote-revee.amenitiz.io/fr,42.904814,3.0555871
11405293893,node,Le Galion,restaurant,Narbonne,,,https://www.mer-sable-soleil.fr/restaurant/,42.9002158,3.0536909
11466899341,node,Le petit péché,restaurant,Narbonne,10 Rue Armand Gauthier,,,43.1851479,3.0040965
11466920996,node,La rotonde,restaurant,Narbonne,,,,43.1819275,3.0072029
11504489809,node,Chez Fabienne,restaurant,Narbonne,,,,43.2510673,2.8325334
11887087043,node,Le Cosy,restaurant,Narbonne,2 Boulevard de Villebrun,,https://restaurant-fruitsdemer-narbonne.fr/index.php/entrees-2poisson-frais-stpierrelamer/,43.1793091,3.1899023
11887097915,node,Aozaï,restaurant,Narbonne,12 Place des Vergnettes,,,43.1789249,3.1897059
11887118971,node,L’effet Mer,restaurant,Narbonne,,,,43.1801344,3.1917602
11887118972,node,Le Matelot,restaurant,Narbonne,,,,43.1802792,3.191901
11896755487,node,Le Playa,restaurant,Narbonne,,,,43.1791018,3.1900925
11896755495,node,,restaurant,Narbonne,,,,43.1792106,3.1894184
11896798407,node,Charly Barr,restaurant,Narbonne,12 Rue du Rocher,,,43.1783275,3.1895493
11896798408,node,Le Vague À Bon,restaurant,Narbonne,8 Rue des Fusains,,,43.17864,3.189023
11923916100,node,Le Petit Lac,restaurant,Narbonne,,,,43.1569517,2.9797035
11966786610,node,Lou Castel,restaurant,Narbonne,,,,43.1799251,3.0024708
11981440780,node,Les Cantalous à la mer,restaurant,Narbonne,,,,43.1096683,3.0949131
11994750981,node,Le Mazagan,hotel,Narbonne,,,,43.0119121,3.0616636
12014798470,node,Asia,restaurant,Narbonne,,,,43.1865941,3.0058763
12028823543,node,Côté Piazza,restaurant,Narbonne,3 Place de la République,,,42.9102886,3.0277768
12031049009,node,Shaky Shop Beach,restaurant,Narbonne,,,,43.1589377,3.1672077
12061539716,node,La Terasse - Bar Glaces Cocktails,restaurant,Narbonne,,,,43.0961121,3.0846047
12061539739,node,Le Traiteur du Village - Maison Franco,restaurant,Narbonne,1 Rue Fabre d'Églantine,,,43.1065073,3.0864313
12061539744,node,Le Repère Pizzeria,restaurant,Narbonne,10 Boulevard Victor Hugo,,,43.1061157,3.0855958
12066908686,node,La perle Gruissanaise,restaurant,Narbonne,,,https://laperlegruissanaise.fr/,43.1102288,3.1263466
12088812113,node,Le Nopal,restaurant,Narbonne,16 Avenue Général Azibert,,,43.1058511,3.0848225
12146785701,node,La bouche rit,restaurant,Narbonne,53 Boulevard des Embruns,,,43.1812265,3.1928128
12146794901,node,Chez Fabio,restaurant,Narbonne,25 Boulevard des Embruns,,,43.18051,3.1920825
12152220451,node,Le Pénélope,restaurant,Narbonne,"1 Rue Albert Lecocq, Leucate",,,42.8821029,3.050016
12158504230,node,Cadence au musée,restaurant,Narbonne,"Avenue André Mècle, Narbonne",,,43.1787484,3.0185361
12187809691,node,OKN9,restaurant,Narbonne,"9 Rue du Port, Paraza",,,43.2490343,2.832473
12205983724,node,,restaurant,Narbonne,,,,43.1867772,3.0950084
12213600175,node,Passe-temps,restaurant,Narbonne,4 Place Auguste Tailhades,,,43.2347117,3.0582834
12214972657,node,,restaurant,Narbonne,,,,43.2347209,3.0576055
